Indicator,Value ,Year
,Biodiesel (TJ),0,1982
,Gasoline (TJ),336567.9819,1982
,Anhydrous ethanol (TJ),45320.62185,1982
,Hydrated ethanol (TJ),35833.87836,1982
,Energy Consumption: Sum (TJ),901333.2003,1982
,Emissions:Natural Gas (tons of CO2eq),0,1982
,Emissions: Diesel oil (tons of CO2eq),36459847.3,1982
,Emissions: Gasoline (tons of CO2eq),24335547.93,1982
,Emissions: Sum (tons of CO2eq),60795395.23,1982
,Natural gas (TJ),0,1983
,Diesel oil (TJ),463038.2505,1983
,Biodiesel (TJ),0,1983
,Gasoline (TJ),287589.0364,1983
,Anhydrous ethanol (TJ),49267.39545,1983
,Hydrated ethanol (TJ),63148.113,1983
,Energy Consumption: Sum (TJ),863042.7953,1983
,Emissions:Natural Gas (tons of CO2eq),0,1983
,Emissions: Diesel oil (tons of CO2eq),34908870.44,1983
,Emissions: Gasoline (tons of CO2eq),20794125.28,1983
,Emissions: Sum (tons of CO2eq),55702995.71,1983
,Natural gas (TJ),0,1984
,Diesel oil (TJ),482408.3859,1984
,Biodiesel (TJ),0,1984
,Gasoline (TJ),257898.4389,1984
,Anhydrous ethanol (TJ),46688.5377,1984
,Hydrated ethanol (TJ),97933.0905,1984
,Energy Consumption: Sum (TJ),884928.453,1984
,Emissions:Natural Gas (tons of CO2eq),0,1984
,Emissions: Diesel oil (tons of CO2eq),36369202.38,1984
,Emissions: Gasoline (tons of CO2eq),18647346.62,1984
,Emissions: Sum (tons of CO2eq),55016549,1984
,Natural gas (TJ),0,1985
,Diesel oil (TJ),497533.0202,1985
,Biodiesel (TJ),0,1985
,Gasoline (TJ),253789.6287,1985
,Anhydrous ethanol (TJ),47563.10685,1985
,Hydrated ethanol (TJ),130320.5803,1985
,Energy Consumption: Sum (TJ),929206.336,1985
,Emissions:Natural Gas (tons of CO2eq),0,1985
,Emissions: Diesel oil (tons of CO2eq),37509462.17,1985
,Emissions: Gasoline (tons of CO2eq),18350259.1,1985
,Emissions: Sum (tons of CO2eq),55859721.27,1985
,Natural gas (TJ),0,1986
,Diesel oil (TJ),585832.4165,1986
,Biodiesel (TJ),0,1986
,Gasoline (TJ),285943.4959,1986
,Anhydrous ethanol (TJ),54761.4837,1986
,Hydrated ethanol (TJ),179747.3576,1986
,Energy Consumption: Sum (TJ),1106284.754,1986
,Emissions:Natural Gas (tons of CO2eq),0,1986
,Emissions: Diesel oil (tons of CO2eq),44166433.13,1986
,Emissions: Gasoline (tons of CO2eq),20675144.47,1986
,Emissions: Sum (tons of CO2eq),64841577.6,1986
,Natural gas (TJ),0,1987
,Diesel oil (TJ),616921.1454,1987
,Biodiesel (TJ),0,1987
,Gasoline (TJ),249111.6067,1987
,Anhydrous ethanol (TJ),47899.4796,1987
,Hydrated ethanol (TJ),190921.3627,1987
,Energy Consumption: Sum (TJ),1104853.594,1987
,Emissions:Natural Gas (tons of CO2eq),0,1987
,Emissions: Diesel oil (tons of CO2eq),46510240.38,1987
,Emissions: Gasoline (tons of CO2eq),18012014.72,1987
,Emissions: Sum (tons of CO2eq),64522255.1,1987
,Natural gas (TJ),115.5797496,1988
,Diesel oil (TJ),629211.0649,1988
,Biodiesel (TJ),0,1988
,Gasoline (TJ),243969.3588,1988
,Anhydrous ethanol (TJ),44087.2551,1988
,Hydrated ethanol (TJ),208923.9264,1988
,Energy Consumption: Sum (TJ),1126307.185,1988
,Emissions:Natural Gas (tons of CO2eq),6814.813196,1988
,Emissions: Diesel oil (tons of CO2eq),47436788.47,1988
,Emissions: Gasoline (tons of CO2eq),17640204.49,1988
,Emissions: Sum (tons of CO2eq),65083807.77,1988
,Natural gas (TJ),78.6345336,1989
,Diesel oil (TJ),666464.2967,1989
,Biodiesel (TJ),0,1989
,Gasoline (TJ),274150.2931,1989
,Anhydrous ethanol (TJ),36373.1067,1989
,Hydrated ethanol (TJ),236923.1575,1989
,Energy Consumption: Sum (TJ),1213989.489,1989
,Emissions:Natural Gas (tons of CO2eq),4636.44937,1989
,Emissions: Diesel oil (tons of CO2eq),50245343.14,1989
,Emissions: Gasoline (tons of CO2eq),19822436.94,1989
,Emissions: Sum (tons of CO2eq),70072416.54,1989
,Natural gas (TJ),73.890432,1990
,Diesel oil (TJ),671278.5685,1990
,Biodiesel (TJ),0,1990
,Gasoline (TJ),312327.4031,1990
,Anhydrous ethanol (TJ),27313.4673,1990
,Hydrated ethanol (TJ),218599.5017,1990
,Energy Consumption: Sum (TJ),1229592.831,1990
,Emissions:Natural Gas (tons of CO2eq),4356.727652,1990
,Emissions: Diesel oil (tons of CO2eq),50608295.43,1990
,Emissions: Gasoline (tons of CO2eq),22582832.88,1990
,Emissions: Sum (tons of CO2eq),73195485.04,1990
,Natural gas (TJ),73.890432,1991
,Diesel oil (TJ),696636.6351,1991
,Biodiesel (TJ),0,1991
,Gasoline (TJ),338462.0668,1991
,Anhydrous ethanol (TJ),36933.72795,1991
,Hydrated ethanol (TJ),219434.3411,1991
,Energy Consumption: Sum (TJ),1291540.661,1991
,Emissions:Natural Gas (tons of CO2eq),4356.727652,1991
,Emissions: Diesel oil (tons of CO2eq),52520062.89,1991
,Emissions: Gasoline (tons of CO2eq),24472499.74,1991
,Emissions: Sum (tons of CO2eq),76996919.36,1991
,Natural gas (TJ),0,1992
,Diesel oil (TJ),709033.4761,1992
,Biodiesel (TJ),0,1992
,Gasoline (TJ),336975.2654,1992
,Anhydrous ethanol (TJ),49917.7161,1992
,Hydrated ethanol (TJ),200939.4362,1992
,Energy Consumption: Sum (TJ),1296865.894,1992
,Emissions:Natural Gas (tons of CO2eq),0,1992
,Emissions: Diesel oil (tons of CO2eq),53454671.89,1992
,Emissions: Gasoline (tons of CO2eq),24364996.57,1992
,Emissions: Sum (tons of CO2eq),77819668.46,1992
,Natural gas (TJ),923.6304,1993
,Diesel oil (TJ),727647.0218,1993
,Biodiesel (TJ),0,1993
,Gasoline (TJ),354321.2812,1993
,Anhydrous ethanol (TJ),54492.3855,1993
,Hydrated ethanol (TJ),207104.4045,1993
,Energy Consumption: Sum (TJ),1344488.723,1993
,Emissions:Natural Gas (tons of CO2eq),54459.09564,1993
,Emissions: Diesel oil (tons of CO2eq),54857963.85,1993
,Emissions: Gasoline (tons of CO2eq),25619200.23,1993
,Emissions: Sum (tons of CO2eq),80531623.18,1993
,Natural gas (TJ),1699.479936,1994
,Diesel oil (TJ),760449.2822,1994
,Biodiesel (TJ),0,1994
,Gasoline (TJ),387856.9115,1994
,Anhydrous ethanol (TJ),70100.0811,1994
,Hydrated ethanol (TJ),208923.9264,1994
